CUSTOMERID,AGE,EDUCATION,YEARSEMPLOYED,INCOME,CARDDEBT,OTHERDEBT,DEFAULTED,ADDRESS
418,37,SCHOOL,1,24,1.801128,1.822872,1,NBA003
419,42,SCHOOL,12,51,2.411994,8.502006,0,NBA011
420,36,SCHOOL,4,25,0.144,0.856,,NBA017
421,34,SCHOOL,18,53,0.840315,4.724685,0,NBA010
422,38,POST GRADUATE,12,63,5.71536,4.36464,1,NBA014
423,27,SCHOOL,11,21,0.914508,1.479492,,NBA001
424,35,UNDER GRADUATE,9,30,0.6498,1.6302,0,NBA016
425,48,SCHOOL,10,70,10.67934,9.06066,,NBA000
426,45,UNDER GRADUATE,18,35,0.5481,5.5419,0,NBA019
427,43,SCHOOL,4,29,0.05336,1.28064,0,NBA002
428,54,SCHOOL,9,28,1.558144,2.585856,1,NBA002
429,35,POST GRADUATE,7,38,1.382858,4.355142,0,NBA005
430,28,SCHOOL,4,19,0.286672,0.492328,0,NBA007
431,39,SCHOOL,16,52,4.16,6.24,0,NBA004
432,43,SCHOOL,8,32,1.23424,4.84576,,NBA000
433,32,UNDER GRADUATE,2,15,0.118755,1.246245,1,NBA011
434,22,POST GRADUATE,0,18,0.47817,0.90783,0,NBA001
435,41,POST GRADUATE,18,71,6.565583,4.581417,1,NBA006
436,34,UNDER GRADUATE,4,25,0.56985,0.88015,0,NBA010
437,34,UNDER GRADUATE,9,27,0.295137,0.163863,0,NBA007
438,31,SCHOOL,1,24,0.21708,0.86292,0,NBA001
439,55,SCHOOL,19,78,4.404816,7.763184,0,NBA002
440,40,SCHOOL,21,46,0.966828,1.885172,0,NBA021
441,41,SCHOOL,13,44,0.07106,0.67694,0,NBA010
442,43,UNDER GRADUATE,10,37,0.676175,2.468825,0,NBA024
443,36,SCHOOL,6,26,0.030212,2.127788,0,NBA009
444,51,UNDER GRADUATE,31,249,4.27284,15.14916,0,NBA014
445,40,SCHOOL,17,55,2.12553,4.14447,,NBA005
446,27,POST GRADUATE,5,42,2.707992,5.650008,1,NBA004
447,36,UNDER GRADUATE,11,49,0.272636,0.364364,0,NBA008
448,38,SCHOOL,5,54,1.499688,4.224312,0,NBA005
449,47,SCHOOL,17,43,0.587552,1.820448,0,NBA021
450,33,SCHOOL,13,42,0.228312,1.283688,0,NBA013
451,41,POST GRADUATE,12,86,4.99101,17.79899,1,NBA011
452,33,SCHOOL,9,29,1.348674,2.653326,1,NBA004
453,21,POST GRADUATE,0,26,1.529528,0.472472,0,NBA001
454,34,SCHOOL,0,21,0.187488,1.324512,0,NBA001
455,51,UNDER GRADUATE,27,166,0.82087,18.26913,0,NBA021
456,36,UNDER GRADUATE,0,30,0.32883,2.58117,0,NBA017
457,23,UNDER GRADUATE,0,17,2.043706,2.665294,1,NBA001
458,34,SCHOOL,4,28,1.058064,1.573936,,NBA003
459,29,SCHOOL,7,22,0.550572,1.583428,0,NBA009
460,46,POST GRADUATE,9,60,1.6065,7.5735,0,NBA010
461,45,POST GRADUATE,2,39,0.45864,1.45236,0,NBA005
462,41,POST GRADUATE,17,176,11.359392,5.008608,1,NBA012
463,28,SCHOOL,4,16,1.08528,2.72272,0,NBA001
464,37,SCHOOL,6,29,1.715901,3.011099,0,NBA009
465,25,SCHOOL,8,35,0.07714,0.93786,0,NBA001
466,48,POST GRADUATE,0,19,0.849528,1.202472,0,NBA027
467,37,POST GRADUATE,12,83,0.319882,3.083118,0,NBA008
468,32,SCHOOL,3,23,0.052762,1.373238,0,NBA010
469,31,SCHOOL,15,60,0.80352,2.07648,0,NBA002
470,48,DOCTRATE,14,59,4.935645,4.799355,1,NBA010
471,45,SCHOOL,22,91,1.256346,9.390654,0,NBA024
472,41,UNDER GRADUATE,6,36,1.486188,3.517812,,NBA007
473,39,SCHOOL,19,46,2.515786,1.670214,0,NBA008
474,41,SCHOOL,19,96,2.253888,5.234112,0,NBA001
475,50,UNDER GRADUATE,15,60,0.46794,0.19206,0,NBA031
476,22,POST GRADUATE,0,23,0.372876,1.559124,1,NBA000
477,43,UNDER GRADUATE,6,54,0.62208,4.56192,0,NBA024
478,33,SCHOOL,8,27,0.776736,0.789264,0,NBA007
479,29,SCHOOL,11,32,0.92736,0.99264,0,NBA007
480,24,SCHOOL,3,21,2.682498,3.386502,1,NBA003
481,27,SCHOOL,6,52,1.90164,5.27436,,NBA002
482,37,DOCTRATE,1,33,2.693691,2.619309,1,NBA014
483,34,UNDER GRADUATE,8,78,2.156544,2.055456,0,NBA006
484,22,SCHOOL,1,17,0.80631,2.35569,0,NBA003
485,41,SCHOOL,4,25,1.0605,1.4645,0,NBA019
486,32,UNDER GRADUATE,7,32,0.43344,0.94256,0,NBA010
487,35,SCHOOL,15,40,1.2136,6.1864,0,NBA011
488,41,SCHOOL,24,100,5.06,6.44,0,NBA015
489,21,UNDER GRADUATE,1,16,0.24192,2.63808,1,NBA002
490,23,SCHOOL,2,25,0.12375,1.00125,1,NBA001
491,25,SCHOOL,6,22,2.261996,2.182004,0,NBA006
492,40,SCHOOL,12,89,2.771994,12.714006,0,NBA006
493,38,SCHOOL,11,35,1.2656,1.5344,0,NBA013
494,49,UNDER GRADUATE,14,63,0.935676,9.018324,,NBA026
495,40,SCHOOL,13,28,0.964768,0.687232,0,NBA002
496,29,UNDER GRADUATE,1,25,0.5694,2.0306,0,NBA007
497,25,SCHOOL,3,18,0.35208,2.58192,1,NBA002
498,33,SCHOOL,14,72,15.01668,14.71932,1,NBA008
499,37,UNDER GRADUATE,11,47,1.597248,2.914752,,NBA011
500,24,SCHOOL,1,18,0.23895,0.82305,1,NBA000
