id,name,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,life,music,computed_death
1384,John,Diercks,,,"New,USA",,,,
1385,Albert,Hermann Dietrich,1829-08-28,1908-11-20,"Golk,Germany","Berlin,Germany",Albert Dietrich was a conductor and a composer. He was court music director at Oldenburg from 1861.,,
1386,Consuelo,Diez,1958-08-16,,"Madrid,Spain",,,,
1387,Mathieu,Dijker,1927-06-29,,"Amsterdam,The Netherlands",,,,
1388,Lowell,Dijkstra,,,"Exeter,,Canada",,,,
1389,James,Dillon,1950-10-29,,"Glasgow,Scotland",,"He studied Music, Acoustics and Linguistics in London. As a composer he is self-taught.",,
1390,Bojidar,Dimov,1935-01-31,,"Lom,Bulgaria","Cologne,Germany",,,
1391,Grigoras,Dinicu,1889-04-03,1949-03-28,"Bucharest,Romania","Bucharest,Romania",,,
1392,D.,Dinis <small>(Diniz)</small>,1261-10-09,1325-01-07,"Lisbon,Portugal","Santarém,Portugal","Dom Dinis, King of Portugal, was not only a great king, but also was one of the first great troubadours of the Portuguese language.",,
1393,Hugo,Distler,1908-06-24,1942-11-01,"Nürnberg,Germany","Berlin,Germany",,,
1394,Karl,Ditters von Dittersdorf,1739-11-02,1799-10-24,"Wien,Austria","Neuhof,Austria",,,
1395,Tatyana,Divina,1955-04-23,,"Vitebsk,Belarus",,"Her music doesn’t come to life by analytic means. She believes that any musical composition exists without depending on any person. Music exists in emptiness, and the aim of the composer is just to find it and to put it into audible shape. Only music can or cannot show itself to the composer, if the composer is ready for it. The more ready the fuller the perception, more existing the music and more shaped the music reflectivity. That’s why composing is so similar to meditation. Tatyana is the author of not only meditative music; classical and variety music is the base of her creative work. Some of her musical works are used in multimedia encyclopedias, cartoons, and documentaries.",,
1396,Antonius,Divitis <small>((de) Rycke)</small>,,,,,,,
1397,Vladimir,Djambazov,1954-10-28,,"Sevlievo,Bulgaria",,,,
1398,Georgi,Dmitriev,1942-10-29,,"Krasnoda,Russia",,,,
1399,Pedro,do Prado,,,Portugal,Portugal,,,
1400,Stephen,Dodgson,1924-03-17,,"London,England",,"Stephen Dodgson was educated at the Royal College of Music, where he later taught theory and composition. He served in the Royal Navy, and then went on a travelling scholarship to Italy. From 1957 he began to broadcast on the radio. His works cover many genres, and involve almost every conceivable combination of instruments. His guitar music in particular has gained recognition, despite the fact that he does not play the instrument himself. His remarkable grasp of the instrument’s capabilities in a distinctly non-Spanish idiom deserves to be heard more widely. Although some might think his style an ‘acquired taste’, the structural skill of his pieces is a joy in itself. John Williams premiered many of his guitar works, including the first Partita and the first guitar concerto.",,
1401,Carlo,Domeniconi,1947-02-20,,"Cesena,Italy",,"Composer Carlo Domeniconi was born in Cesena, Italy, in 1947 and studied guitar with Carmen Lenzi Mozzani. He is known as a concert artist in both the classical and jazz idioms, and has played and taught throughout Europe. He has become known as a distinctive composer for the guitar, often showing regional folk influences in his compositions.",,
1402,François,Dompierre,,,Canada,,,,
1403,Franco,Donatoni,1927-06-09,2000-08-17,"Verona,Italy","Milano,Italy",Studied with and influenced by Pizzetti.,,
1404,Gaetano,Donizetti,1797-11-29,1848-04-08,"Bergamo,Italy","Bergamo,Italy",,,
1405,Johennès,Donjon,,,France,,"If you know more about this composer, please let me and Jessica e Bolton &lt;bbsflmusic<img src=""/a.png"" style=""border: 0pt; margin: 0pt; padding: 0pt;"" alt=""(at)""/>collegeclub.com&gt; know.",,
1406,Cornelis,Dopper,1870-02-07,1939-09-18,"Stadskanaal,The Netherlands","Amsterdam,The Netherlands",,,
1407,Franz,Doppler,1821-10-16,1883-07-27,"Lemberg,Austria [now Ukraine]","Baden,Austria",,,
1408,Antal,Dorati,1906-04-09,1988-11-13,"Budapest,Hungary","Gerzensee,Switzerland",,,
1409,Daniel,Dorff,1956-03-07,,"New,USA",,,,
1410,Joseph,Dorfman,1940-08-03,2006-06-07,"Odessa,Ukraine","Encino,USA",,,
1411,Avner,Dorman,1975-04-14,,"Tel-Aviv,Israel",,"Born in 1975, Avner Dorman completed his Doctoral degree as a C.V. Starr fellow at the Juilliard School where he studied with John Corigliano and his Master’s degree at Tel Aviv University where he majored in music, musicology, and physics and studied with former Soviet composer Josef Bardanashvili. Dorman was a composition fellow at the Tanglewood Music Center and served as composer in residence for The Israel Camerata from 2001 through 2003.",,
1412,Heinrich,(Ludwig Egmont) Dorn,1804-11-14,1892-01-10,"Königsberg,Germany","Berlin,Germany","Dorn was a student of law at Konigsberg in 1823, but was more interested in a music career and went to Berlin to study under L. Berger, Zelter, and B. Klein (piano). For a while, he taught in Frankfort, becoming Kapellmeister of the Konigsberg Theatre in 1828. He met young Wagner in Leipzig in or about 1829. Later, as music director of St. Peter’s in Riga, Dorn became an outspoken critic of Wagner. For many years, he participated in music festivals as organizer and conductor. In 1845, Dorn founded the Rheinische Musikschule, which later became known as the Cologne Conservatory.  He wrote many articles on musical criticism, became the music editor for the Berliner Post and other publications. His autobiography, Aus meinem Leben is in 6 parts and was published in 1879. Dorn further developed a reputation in his musical criticism for being a champion of the music of Anton Bruckner.",,
1413,Louis-Antoine,Dornel,,,"Paris,France","Paris,France","Organist, teacher and author of the treatise ""Le tour du clavier sur tous les tons majeurs et mineurs"".",,
1414,Robson,Dos Santos,1963-05-27,,"Belo,Brazil",,,,
1415,Dev,Dosaj,1959-06-19,,"Santa,USA",,,,
1416,Hermann,Dostal,,1930-12-20,"Mährisch-Ostrau,Austria","Vienna,Austria","The German composer and arranger Hermann Dostal was uncle of composer Nico Dostal. He was an army musician, like his father. He also served under Franz Léhar, whom he followed up in 1904. He is buried on the Viennese Zentralfriedhof.",,
1417,Justus,Friedrich Dotzauer,,,,,,,
1418,Terrence,Patrick Dougherty,1937-02-12,,"Spokane,,USA",,,,
1419,James,Douglas,1932-07-04,,"Dumbarton,Scotland",,,,
1420,John,Dowland,,1626-02-20,"Dublin,Ireland","London,England",,,
1421,Fergal,Dowling,1965-10-01,,"Dublin,Ireland",,,,
1422,Andrew,Downes,1950-08-20,,"Birmingham,UK",,,,
1423,Felix,Draeseke,1835-10-07,1913-02-26,"Coburg,Germany","Dresden,Germany",,,
1424,Dimitris,Dragatakis,1914-01-21,2001-12-18,"Platanoussa,,Greece","Athens,Greece",,,
1425,Antonio,Draghi,,1700-01-16,"Rimini,Italy","Wien,Austria",,,
1426,Ernesto,Drangosch,,,Argentina,Argentina,,,
1427,František,Drdla,1868-11-28,1944-09-03,"Ždár,Moravia, Czech Republic","Bad,Austria",,,
1428,Sem,Dresden,1881-04-20,1957-07-30,"Amsterdam,The Netherlands","Den,The Netherlands",,,
1429,Laurence,Dresner,1955-12-14,,"New,USA",,Laurence Dresner is a Member of Long Island Composer’s Alliance (NY); he has a Masters in Composition from N.E.C. (Boston).,,
1430,James,Drew,1929-02-09,,"St.,USA",,,,
1431,David,Drexler,,,"Fort,USA",,,,
1432,Alexander,Dreyschock,1818-10-15,1869-04-01,"Zak,,Bohemia","Venezia,Italy",,,
1433,Riccardo,Eugenio (Richard) Drigo <small>(Риккардо Эудженьо Дриго)</small>,1846-06-30,1930-10-01,"Padua,Italy","Padua,Italy",,,
1434,Madeleine,Winefride Isabelle Dring,1923-09-07,1977-03-26,"London,England",England,"English composer and actress Madeleine Dring studied composition with Ralph Vaughan Williams, Herbert Howells, and Gordon Jacob.",,
1435,Max,Drischner,1891-01-31,1971-04-25,"Prieborn,,Germany (now Poland)","Goslar,Germany","Organist-Kantor, Nikolaikirche, Brieg, Germany. Several organ pieces dedicated to his friend Albert Schweitzer and wife.",,
1436,Brian,Driscoll,1979-10-08,,"New,USA",,,,
1437,Gerard,Drozd,,,"Gliwice,Poland",,Composer and guitarist.His music is played by many very well known artists.,,
1438,Jacob,Druckman,1928-06-26,1996-05-24,USA,USA,,,
1439,Georg,(Jiři) Druschetzky <small>(Druzecky)</small>,,,"Bratislava,Slovak Republic","Budapest,Hungary",,,
1440,Eustache,du Caurroy,,,France,France,,,
1441,(Jean,Baptiste) Edouard Du Puy,,1822-04-03,,"Stockholm,Sweden",,,
1442,Leonora,Duarte,,,,,,,
1443,Charles,Edward &quot;C.E.&quot; Duble,1884-09-13,,"Jeffersonville,,USA","Jeffersonville,,USA","Trombonist who toured with traveling circuses, minstrel shows, and vaudeville shows from 1909 until well into the 1930s.  After retiring from the road, he became a prolific writer and important historian of traveling shows.  He wrote columns and corresponded with hundreds of musicians until his death in 1960.  He is enshrined in the Windjammers Hall of Fame.",,
1444,François,Clément Théodore Dubois,1837-08-24,1924-06-11,"Rosnay,France","Paris,France",Studied at Reims and Paris Conservatory. Won the Prix de Rome in 1861. Returning to Paris in 1866 was active as organist and teacher. Succeeded Saint-Saëns as organist at the Madelaine in 1877. Was director of the Conservatory from 1896 to 1905.,,
1445,Jack,Curtis Dubowsky,,,,,,,
1446,Stephen,Duckett,1979-10-16,,"Birmingham,England",,"Amidst organ scholarships and individual tuition, much of Stephen’s learning is self schooling, listening, following scores and orchestrating piano reductions of orchestral works for later synopsis with the originals. He is heavily inspired by nature and nearly all of his output is based on a landscape or series of landscapes in England. Stephen has a passion for the English countryside and this permeates all of his music; his compositional style is dark, atmospheric, contemplative and nocturnal, with an undeniably English flavour. Stephen is currently writing a set of orchestral works based on Landscapes at Blenheim Park, Oxfordshire, where he is based. He currently organises the Sunday Music series at Blenheim Palace, and is keen to support the music of English composers especially.",,
1447,William,Duckworth,,,"North,USA",,,,
1448,Guillaume,Dufay,1397-08-05,1474-11-27,"Bersele,Belgium","Kamerijk/Cambrai,Belgium",,,
1449,Paul,Dukas,1865-10-01,1935-05-17,"Paris,France","Paris,France",,,
1450,Arthur,Dulay,,1971-06-18,England,"Huddersfield,England",Arthur Delay was a composer and silent film piano accompanist. He wrote a lot of music and won many prizes.,,
1451,Michael,Dulitsky,1952-01-24,,"Chernovitz,Ukraine",,,,
1452,Isaak,Dunayevsky,1900-01-30,1925-07-25,"Lokhvista,Russia","Moscow,Russia",,,
1453,Egidio,Romualdo Duni,1708-02-11,1775-06-11,"Matera,Italy","Paris,France",,,
1454,John,Dunstable,,1453-12-24,,"London,England","It is believed that no images of John Dunstable exist. (contribution by Pablo Castells &lt;pjcastells<img src=""/a.png"" style=""border: 0pt; margin: 0pt; padding: 0pt;"" alt=""(at)""/>hotmail.com&gt;)",,
1455,Henri,Duparc,1848-01-21,1933-02-12,"Paris,France","Mont-de-Marsan,France",,,
1456,Jacques,Duphly,1715-01-12,1789-07-15,"Rouen,France",France,,,
1457,Gabriel,Dupont,1878-03-01,1914-08-03,"Caen,France","Vésinet,France",,,
1458,Marcel,Dupré,1886-05-03,1971-05-30,"Rouen,France","Meudon,France",,,
1459,Jacobo,Durán-Loriga,1958-06-09,,"Madrid,Spain",,,,
1460,Marie,Auguste Durand,1830-07-18,1909-05-31,"Paris,France","Paris,France",,,
1461,Francesco,Durante,1684-03-31,1755-09-13,"Frattamaggiore,Italy","Napoli,Italy",,,
1462,Manuel,Durão,,,"Lisbon,Portugal",,,,
1463,Louis,Durey,1888-05-27,1979-07-03,"Paris,France","St.-Tropez,France",,,
1464,Sebastián,Durón,1660-04-19,1716-08-03,"Brihuega,,Spain","Cambó,,Spain",,,
1465,Maurice,Duruflé,1902-01-11,1986-06-16,"Louviers,France","Paris,France",,,
1466,Pascal,Dusapin,1955-05-29,,"Nancy,France",,,,
1467,Jan,"Ladislav Dušek <small>(Dussek, Dusík)</small>",1760-02-12,1812-03-20,"Czáslav,Czech Republic","Saint-Germain-en-Laye,,France",,,
1468,Henri,Dutilleux,1916-01-22,,"Angers,France",,,,
1469,Balys,Dvarionas,1904-06-19,1972-08-23,"Liepaja,Latvia","Vilnius,Lithuania",,,
1470,Antonín,Dvořák,1841-09-08,1904-05-01,"Nelahozeves,Czech Republic","Praha,Czech Republic",,,
1471,Roland,Dyens,,,,,,,
1472,John,Dyer,,,England,England,,,
1473,George,Dyson,1883-05-28,1964-09-28,"Halifax,England","Winchester,England",,,
1474,David,Dzubay,1964-10-04,,"Minneapolis,USA",,,,
1475,Eugen,d’Albert,1864-04-10,1932-03-03,"Glasgow,Scotland","Riga,Letvia",,,
1476,Jean,Henry D’Anglebert,,1691-04-23,,"Paris,France","Composer working with Lully at the French court, and holding the position as harpsicordist to the King, a position where he replaced Chambonniere. His music forms a link between that of Chambonnière and the music of Couperin in the first decades of the 18th century. He made a major contribution to the evolution of French keyboard ornamentation.",,
1477,Guillaume,IX d’Aquitaine <small>(Guilhèm de Peitieus)</small>,1071-10-22,1126-02-10,France,"Blaye,France","William IX, as his name is in English, from the 19th century was also called the “Troubador”. He was the Duke of Aquitaine and Gascony and Count of Poitou (as William VII) between 1086 and his death. He was one of the leaders of the Crusade of 1101, and he was also the first troubadour.",,
1478,Emanuele,d’Astorga,,,"Augusta,,Italy",,,,
1479,Francesco,D’Avalos,1930-04-11,,"Napoli,Italy",,,,
1480,Arnaldo,D’Espósito,,,Argentina,,,,
1481,Sigismondo,D’India,,,,,,,
1482,Vincent,d’Indy,1851-03-27,1931-12-02,"Paris,France","Paris,France",,,
1483,Miguel,Angel Botello D’Mendo Boteli,1974-09-24,,"México,Mexico",,,,
1484,Gaultier,le Vieux Ennemond <small>(de Lyon)</small>,,,,"?,France",,,
1485,Pedro,Escobar <small>(do Porto)</small>,,,,"Évora,Portugal",,,
1486,Blas,Galindo Dimas,1910-02-03,1993-04-19,"San,Mexico","México,Mexico",,,
1487,Juan,Ginés Pérez de la Parra,,,,"Orihuela,Spain","It seems that there are also records that state Ginés Pérez‛ dying year as 1612, but 1600 looks like the correct year.",,
1488,Claudio,Guidi Drei,1927-08-17,,"Buenos,Argentina",,,,
1489,Ernst,(Ernest) II Herzog von Sachsen-Coburg und Gotha <small>(Duke of Saxe-Coburg and Gotha)</small>,1818-06-21,1893-08-22,"Coburg,Germany","Reinhardsbrunn,Germany",,,
1490,Mehdi,"Hosseini <small>(<span lang=""ir"" dir=""rtl"">سید مهدی حسینی</span>)</small>",1979-07-10,,"Tehran,Iran",,,,
1491,Candelario,Huízar (García de la Cadena),1883-02-02,1970-05-03,"Jérez,,Mexico","Mexico,Mexico",,,
1492,Elisabeth-Claude,Jacquet de la Guerre,1665-03-17,1729-06-27,"Saint-Louis-en-l’Île,,France","Paris,France","There is some uncertainty about her dates. Her birth year is also given as 1664, 1666 or 1667, and the New Grove (1986 edition) does not mention a birth day.",,
1493,Marlos,Nobre de Almeida,1939-02-18,,"Recife,,Brazil",,"Composer, pianist and conductor.",,
1494,Rafael,Peacan del Sar,,,"Buenos,Argentina",Argentina,,,
1495,Pablo,Martin Melinton Sarasate de Navasquez,1844-03-10,1908-09-20,"Pamplona,Spain","Biarritz,France","Spanish violinist and composer. Born 1844 in Pamplona, died 1908 Biarritz. Studied at the Paris conservatory. Performed at the Spanish court as a child. His violin playing was loved around the world. He also played together with Berthe Marx-Goldschmidt. Also a famous composer, especialy for his ""Zigeunerweisen"".",,
1496,Rui,Soares da Costa,1958-05-25,,"Porto,Portugal",,,,
1497,Jean-Henri-Joseph,Spoelberch de Lovenjoul,1766-10-09,1838-12-28,"Leuven,Belgium","Leuven,Belgium",,,
1498,Cedric,Thorpe Davie,1913-05-30,1983-01-18,"London,Scotland","Dalry,Scotland",,,
1499,Joost,van de Goor,1956-11-24,,"Tilburg,The Netherlands",,,,
1500,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
1501,David,van de Woestijne,,1979-05-18,,"Brussel,Belgium",,,
1502,Lex,van Delden <small>(Alexander Zwaap)</small>,1919-09-10,1988-07-01,"Amsterdam,The Netherlands","Amsterdam,The Netherlands",,,
1503,Gertrude,van den Bergh,1793-01-21,1840-09-10,The Netherlands,The Netherlands,,,
1504,Jo,van den Booren,1935-03-14,,"Maastricht,The Netherlands",,Played 40 years in The Brabant Orchestra (HBO) His daughter Borika plays violin in the concert-gebouw orchestra. His wife Zouza plays Cello in The Brabant Orchestra.,,
1505,Michel,van der Aa,1970-03-10,,The Netherlands,,,,
1506,Anthon,van der Horst,1899-06-20,1965-03-07,"Amsterdam,The Netherlands","Hilversum,The Netherlands",,,
1507,Frank,van der Stucken,1858-10-15,1929-08-16,"Fredricksburg,,USA","Hamburg,Germany",,,
1508,Niel,van der Watt,1962-12-28,,"Pretoria,South Africa",,,,
1509,Bernard,van Dieren,1887-12-27,1936-04-24,"Rotterdam,The Netherlands","London,England",,,
1510,Jan,van Dijk,,,"Oostzaan,The Netherlands",,,,
1511,Jacob,van Domselaer,,,"Nijkerk,The Netherlands","Bergen,The Netherlands",,,
1512,Jan,Willem van Dormolen,1956-05-13,,"Den,The Netherlands",,"Born in The Hague, raised in Oegstgeest. First studied physics, but after one and a half year switched to music. Studied clarinet, saxophone and composition in Utrecht. Now active as music teacher and as translator, editor and writer of software guides.",,
1513,Jan,Rokus van Roosendael <small>(de Groot)</small>,1960-05-06,2005-02-17,"Zwijndrecht,The Netherlands","Oostzaan,The Netherlands",,,
1514,José,"Augusto Ferreira Veiga, Visconde do Arneiro",1838-11-22,1903-06-07,"Macau,China","San,Italy",,,
1515,António,Victorino d’Almeida,,,"Lisbon,Portugal",,,,
1516,Ernö,von Dohnányi <small>(Dohnányi)</small>,1877-07-27,1960-02-09,"Pozsony,Hungary","New,USA","Today his birth place is called Bratislava, Slovak Republic.",,
1517,Johann,Nepomuk Kafka,1819-05-17,1886-10-23,Bohemia,?,Johann Nepomuk Kafka is known as a composer of “Salon” music. He was also an autograph collector. Beethoven’s so-called Kafka note book is named after Johann Nepomuk Kafka.,,
1518,Erik,Satie,1866-05-17,1925-07-01,"Honfleur,France","Paris,France",,,
1519,Werner,Egk,1901-05-17,1983-07-10,"Auchsesheim,Germany","Inning,Germany",,,
1520,Peter,Mennin,1923-05-17,1983-06-17,"Erie,,USA","New,USA",,,
1521,Philippe,Boesmans,1936-05-17,,"Tongeren,Belgium",,,,
1522,Jacob,Wilhelm Lustig,1706-09-21,1796-05-17,"Hamburg,Germany","Groningen,The Netherlands","The Dutch theorist, organist and composer Jacob Wilhelm Lustig was of German descent. Among his teachers were Mattheson, Telemann and Kuntzen. His father, who was also called Jacob Wilhelm, had been a pupil of J.A. Reincken.",,
1523,Fanny,Cécile Mendelssohn <small>(Hensel)</small>,1805-11-14,1847-05-17,"Hamburg,Germany","Berlin,Germany",,,
1524,Henri,Cohen,,1880-05-17,"Amsterdam,The Netherlands","Brie,France",,,
1525,Paul,Dukas,1865-10-01,1935-05-17,"Paris,France","Paris,France",,,
1526,Pietro,Mascagni,1863-12-07,1945-08-02,"Livorno,Italy","Roma,Italy",,,
1527,Ruggero,Leoncavallo,1857-04-23,1919-08-09,"Napoli,Italy","Montecatini,Italy",,,
1528,Maurice,Ravel,1875-03-07,1937-12-28,"Ciboure,France","Paris,France",,,
1529,Aloís,Hába,1893-06-21,1973-11-18,"Vizovice,Eastern Moravia","Praha,Czechoslovakia (Now Czech Republic)",Student: Necil Akses (Turkey),,
1530,Sergey,Prokofiev,1891-04-23,1953-03-05,"Sontsovka,Russia (now Ukraine)","Moscow,Russia",Prokofiev’s birthday in the old style calendar is 11 April 1891.,,
1531,Samuel,Lover,1797-02-24,1868-07-06,"Dublin,Ireland","St.,UK","The Irish composer Samuel Lover was also known as a writer and as a painter. He wrote the text to his own opera “Grana Uile, or the The Island Queen” (premiered 9 February 1839 in Dublin). He also painted a miniature of Paganini in 1832. From 1835 he settled in London as a miniature painter. After his eyesight began to fail him, he started touring with a successful musical entertainment, called “Irish Evenings”, in Enlend, Scotland, Wales and even the USA (1846).",,
1532,William,James Mathias,1934-11-01,1992-07-29,"Whitland,,Wales","Anglesey,Wales",,,
1533,Ralf,Bauer-Mörkens,1953-02-26,,"Bonn,Germany",,,,
1534,Nancy,Van de Vate,1930-12-30,,"Plainfield,,USA",,,,
1535,Ignaz,[Ignace] Vitzthumb <small>(Witzthumb)</small>,1724-09-14,1816-03-23,"Baden,Austria","Brussel,Belgium",,,
1536,Lilia,Valitova,1960-10-03,,"Salavat,,Russia",,,,
1537,Arkadi,Troitsky <small>(Аркадий Троицкий)</small>,1957-04-10,,"Moscow,Russia",,,,
1538,Olivia,Saunders Fox,1980-05-19,,"Kingston-upon-Thames,England",,,,
1539,Wolfgang,Amadeus <small>(Amadé)</small> Mozart,1756-01-27,1791-12-05,"Salzburg,Austria","Wien,Austria","Son of Leopold, father of Franz Xaver.",,
1540,Antonio,Vivaldi,1678-03-04,1741-07-28,"Venezia,Italy","Wien,Austria",,,
1541,Pyotr,Ilyich Tchaikovsky,1840-05-07,1893-11-06,"Wotkinsk,Russia","St.,Russia",,,
1542,Ludwig,van Beethoven,1770-12-16,1827-03-26,"Bonn,Germany","Wien,Austria",Beethoven’s birthdate was very likely 16 December. He was baptised on the 17 December (thanks Melissa Arseneau!).,,
1543,Johann,Sebastian Bach,1685-03-21,1750-07-28,"Eisenach,Germany","Leipzig,Germany","Father of Wilhelm Friedemann, Carl Philipp Emanuel, Johann Christoph Friedrich and Johann Christian.",,
1544,Johann,Nepomuk Hummel,1778-11-14,1837-10-17,"Pressburg,Slovak Republic","Weimar,Germany",,,
1545,Johannes,Brahms,1833-05-07,1897-04-03,"Hamburg,Germany","Wien,Austria",,,
1546,Antonio,Salieri,1750-08-18,1825-05-07,"Legnago,Italy","Vienna,Austria",,,
1547,Gustav,Mahler,1860-07-07,1911-05-18,"Kalischt,Czech Republic","Wien,Austria",,,
1548,Georges,Bizet,1838-10-25,1875-06-03,"Paris,France","Bougival,France",,,
1549,Joseph,Ermend Bonnal <small>(Ermend-Bonnal)</small>,1880-07-01,1944-08-14,"Bordeaux,France","Bordeaux,France",,,
1550,Juan,del Encina,1468-07-12,,"Salamanca,Spain","Léon,Spain",,,
1551,David,Earl,1951-10-05,,"Stellenbosch,South Africa",,,,
1552,Colin,Eatock,1958-02-20,,"Hamilton,Canada",,,,
1553,Petr,Eben,1929-01-22,2007-10-24,"Žamberk,Czech Republic","Praha,Czech Republic",,,
1554,Anton,Eberl,1765-06-13,1807-03-11,"Wien,Austria","Wien,Austria",,,
1555,Johann,Ernst Eberlin,1702-03-27,1762-06-19,"Jettingen,Germany","Salzburg,Austria","Valued composer of church music, but also other works, who became organist at the Salzburg cathedral (1729) and Kapellmeister in Salzburg (1749).",,
1556,Carl,Friedrich Ebers,1770-03-25,1836-09-19,"Kassel,Germany","Berlin,Germany",,,
1557,Johann,Gottfried Eckard,1735-01-21,1809-07-24,"Augsburg,Germany","Paris,France",,,
1558,Jason,Eckardt,1971-05-17,,"Princeton,,USA",,,,
1559,Sophie-Carmen,Eckhardt-Gramatté,1902-01-06,1974-12-02,"Moscow,Russia","Stuttgart,Germany","Studied at the Paris Conservatoire and with Max Trapp in Berlin, and made a career as a violinist and pianist. She married the painter Walter Gramatte and settled eventually in Canada.",,
1560,Clarence,Eddy,,,"Greenfield,USA","Chicago,USA",,,
1561,Jean-Frédéric,(Johann-Friedrich) Edelmann,1749-05-05,1794-07-17,"Strasbourg,France","Paris,France",He was guillotined in 1794.,,
1562,Mike,Edgerton,1961-10-31,,"Racine,,USA",,,,
1563,Paul,Max Edlin,,,England,,,,
1564,Ross,Edwards,1943-10-23,,"Sydney,Australia",,,,
1565,Klaus,Egge,1906-07-19,,"Gransherad,Norway","Oslo,Norway",,,
1566,Joachim,Nikolas Eggert,1779-02-22,1813-04-14,"Gingst,,Sweden","Stockholm,Sweden",,,
1567,Werner,Egk,1901-05-17,1983-07-10,"Auchsesheim,Germany","Inning,Germany",,,
1568,Levente,Egry,1969-08-21,,"Budapest,Hungary",,,,
1569,Søren,Nils Eichberg,,,"Stuttgart,Germany",,,,
1570,Edward,Eicker,1975-05-22,,"Chicago,,USA",,,,
1571,Hans,Eijsackers,1967-02-15,,"Den,The Netherlands",,,,
1572,Richard,Eilenberg,,,"Wien,Austria","Wien,Austria",,,
1573,Herbert,Eimert,1897-04-08,1972-12-15,"Bad,Germany","Köln,Germany",,,
1574,Ludovico,Einaudi,1955-11-23,,"Torino,Italy",,,,
1575,Hanns,Eisler,1898-07-06,1962-09-06,"Leipzig,Germany","Berlin,Germany",,,
1576,Will,Eisma,1929-05-13,,"Soengailiat,Indonesia, The Netherlands",,,,
1577,Klaas,Eldering,1951-01-10,,"Hoogkerk,The Netherlands",,yes,,
1578,Danny,Elfman,1953-05-29,,"Amarillo,,USA",,,,
1579,Edward,Elgar,1857-06-02,1934-02-23,"Broadheath,England","Worcester,England",,,
1580,Marios,Joannou Elia,1978-06-19,,"Pafos,Cyprus",,,,
1581,Amos,Elkana,1967-08-20,,"Boston,USA",,,,
1582,Jane,Ellen,1956-05-11,,"California,USA",,,,
1583,Heino,Eller,1887-03-07,1970-06-16,"Tartu,Estonia","Tallinn,Estonia",,,
1584,Rosalind,Frances Ellicott,1857-11-14,1924-04-05,"Cambridge,England","Seasalter,,England",Rosalind Ellicott was the daughter of the Bishop of Gloucester and Bristol.,,
1585,Catharinus,Elling,1858-09-13,1942-01-08,"Oslo,Norway","Oslo,Norway",,,
1586,Edward,K. &quot;Duke&quot; Ellington,1899-04-29,1974-05-24,"Washington,,USA",USA,,,
1587,Jonathan,Elliott,1962-02-15,,"Philadelphia,USA",,"Born in Philadelphia in 1962; piano studies at age six; studied at Settlement Music School; AB Composition, Vassar College, where he studied piano with Todd Crow and composition with Annea Lockwood; full fellowship to the University of Chicago where he obtained AM and PhD in Composition, studying with reknowned composers Ralph Shapey and Shulamit Ran.  Resides in NYC where he is composer-in-residence at Saint Ann’s School.",,
1588,David,Ellis,1933-03-10,,"Liverpool,England",,,,
1589,Albert,Ellmenreich,1816-02-10,1905-05-30,"Karlsruhe,Germany","Lübeck,Germany",,,
1590,Robert,Elmore,1913-01-02,,"Ramapatnam,India",,,,
1591,Jens,Laurson Emborg,,,"Ringe-Vordingborg,Denmark",Denmark,,,
1592,Maurice,Emmanuel,1862-05-02,1938-12-14,"Bar-sur-Aube,France","Paris,France",,,
1593,George,Enescu <small>(Georges Enesco)</small>,1881-08-19,1955-05-04,"Liveni-Virnav,Romania","Paris,France",,,
1594,Claude,Engel,1948-07-14,,"Paris,France",,,,
1595,Dawid,Sofius Engela,1931-10-30,1967-11-25,"Florida,,South Africa","Laingsburg,South Africa",Dawid Sofius Engela studied with Hanns Jelinek and Paul Hindemith at the Akademie für Musik und darstellende Kunst (Vienna) and with Herbert Howells at Royal College of Music in London.,,
1596,Richard,Englefield,1937-11-26,,"Springfield,,USA",,,,
1597,Giuseppe,Giorgio Englert,1927-07-22,2007-03-29,"Fiesole,Italy","Paris,France",,,
1598,Gaultier,le Vieux Ennemond <small>(de Lyon)</small>,,,,"?,France",,,
1599,Péter,Eötvös,1944-01-02,,"Odorheiu,Hungary",,,,
1600,Donald,James Erb,1927-01-17,2008-08-12,"Youngstown,,USA","Cleveland,USA","The American avant garde composer Donald Erb once played the trumpet in dance bands. He was a teacher at the Cleveland Institute from 1953 till 1961, and composers in residence from 1966 till 1981. From 1984 till 1987 he was professor of music at the Indiana University School of Music, and professor of composition at the Cleveland Institute from 1987 till 1996. From 1988 till 1990 he was composer in residence at the St. Louis Symphony Orchestra.",,
1601,Ferenc,Erkel,1810-11-07,1893-06-15,"Gyula,Hungary","Budapest,Hungary",The Hungarian composer Ferenc Erkel was also a conductor. He founded the Budapest Philharmonic in 1853 and also conducted it.,,
1602,Gabriel,Erkoreka,1969-02-27,,"Bilbao,Spain",,,,
1603,Philipp,Heinrich Erlebach,1657-07-25,1714-04-17,"Esens,Germany","Rudolstadt,Germany",,,
1604,Heinrich,Wilhelm Ernst,1814-05-06,1865-10-08,"Brno,Czech Republic","Nice,France",,,
1605,Thomas,"Alexander Erskine, 6th Earl of Kellie <small>(Kelly)</small>",1732-09-01,1781-10-09,"Kellie,Scotland","Brussels,Belgium",,,
