BiolayoutID,id_Food,Food Code,Food Name,Description,Group,Group (sub-class),Constant,Energy kJ kJ,Previous,Comments,Description Footnote,LEnergy (kcal) (kcal),LProtein (g),LCarbohydrate (g),LTotal Sugars (g),LStarch (g),Citric acid (g),Malic acid (g),Total Phytosterols (mg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),5-mehtyl folate (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Water g,Total nitrogen g,Protein g,Fat g,Carbohydrate g,Energy kcal kcal,Starch g,Oligosaccharide g,Total sugars g,Glucose g,Galactose g,Fructose g,Sucrose g,Maltose g,Lactose g,Alcohol g,NSP g,AOAC fibre g,Satd FA /100g FA g,Satd FA /100g fd g,n-6 poly /100g FA g,n-6 poly /100g food g,n-3 poly /100g FA g,n-3 poly /100g food g,cis-Mono FA /100g FA g,cis-Mono FA /100g Food g,Mono FA/ 100g FA g,Mono FA /100g food g,cis-Polyu FA /100g FA g,cis-Poly FA /100g Food g,Poly FA /100g FA g,Poly FA /100g food g,Sat FA excl Br /100g FA g,Sat FA excl Br /100g food g,Branched chain FA /100g FA g,Branched chain FA /100g food g,ans FAs /100g FA g,ans FAs /100g food g,Cholesterol mg,Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),Sodium mg,Potassium mg,Calcium mg,Magnesium mg,Phosphorus mg,Iron mg,Copper mg,Zinc mg,Chloride mg,Manganese mg,Selenium µg,Iodine µg
"Fancy iced cakes, individual",120,11-528,"Fancy iced cakes, individual",10 samples including French and fondant fancies,Cereals and cereal products ,AN,74,1502,11-199 11-383 50-112 ,"Data from MW5 (50-112), fats from FA supplement (11-383) Vitamin E from Milk Marketing Board, fat, fatty acids and vitamin content of a selection of biscuits, cakes and desserts, 1992.",,359,4.1,65.2,51.7,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,1.29,0,0,0,12.7,0.66,3.8,9.1,68.8,355,14.8,0,54,4.2,0,2,47.8,0,0,0,0,0,0,3.2,6.93,0.6,1.33,0.12,32.72,2.85,0,4.71,6.19,0.54,0,0.72,36.95,3.21,0.54,0.05,23.47,2.04,0,0,0,0,0,2.45,0,0.01,0.04,0.2,0.8,1,0,0,0,0,0,0,250,170,44,30,120,1.4,0.25,0.7,230,0,0,0
Chocolate fudge cake,121,11-527,Chocolate fudge cake,"12 samples, 6 brands. Mixture of fresh and frozen",Cereals and cereal products ,AN,11527,1509,,"ADAS Laboratories, 1999, Nutrient analysis of ice creams and desserts, Food Surveillance Information Sheet No.195",,364,5.2,53.6,42.4,10.3,0,0,0,0,60.5,31.5,5.1,16.5,3.4,0,1.6,2.4,30,0,0,0,0,30,0,0,0,0,0,0,1.43,0,0,0,0,0,0,24.7,0.83,5.2,14.3,55.7,358,11.3,0.9,44.4,1.7,0,0.4,39.1,1.3,1,0,0.9,1.9,33.4,4.57,0,0,0,0,44.2,6.04,46.6,6.37,19.5,2.67,19.7,2.69,0,0,0,0,2.6,0.36,16.5,30,30,35,0.4,1.45,0,0.05,0.06,0.5,1.5,2,0,0,7,0.42,2.6,0,265,357,67,45,156,3.11,0.38,0.8,274,0.37,4,0
"Gateau, chocolate based, frozen",122,11-526,"Gateau, chocolate based, frozen","11 samples, including Black Forest gateau.",Cereals and cereal products ,AN,11421,1236,11-421 ,"RHM, Nutrient content of selected foods, 1995, Food Surveillance Information Sheet No. 70; fatty acid data from FA supplement (11-421)",,295,3.4,34.9,16.8,16,0,0,0,0,10.8,7.1,0,2.7,0,0,0,1,102,0,0,0,19,70,0,0,0,0,0,0,0.85,0.21,0.01,0.73,0,0,0,43.1,0.55,3.5,15.7,37.2,295,17.6,2.2,17.4,2.4,0,1.8,11.5,0.7,0.9,0,1,0,69.45,10.4,6.93,1.04,1.11,0.17,23.84,3.58,25.14,3.76,6.64,1,7.9,1.21,0,0,2.71,0.41,3.29,0.42,55.7,102,80,115,0,1.01,0,0.05,0.09,0.3,0.5,0.8,0.01,0.2,2,0.2,3,0,173,189,49,20,153,1.5,0.52,0.6,0,0.2,0,0
"Wheat flour, wholemeal",123,11-441,"Wheat flour, wholemeal","Data from Voluntary Flour Sampling Scheme (VFSS), 1977-81 plus literature sources. Biscuit and cake flours are similar in composition to plain flour",Cereals and cereal products ,AA,9,1318,11-033 50-016  ,"Data from MW5 as 50-016, fatty acids as FA supplement 11-033 and selenium from SAC Analysis of foods for Selenium 1994 MAFF Project 2B006",,307,13.6,58.2,2.1,56.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.18,12.7,2.2,63.9,310,61.8,0,2.1,0.1,0,0,1,0,0,0,9,0,0,0.3,0,0.83,0,0.06,0,0.21,0,0.3,0,0.89,0,1,0,0.28,0,0,0,0,0,0,0,0,0,1.4,0,0.47,0.09,5.7,2.5,8.2,0.5,0,57,0.8,7,0,3,340,38,120,320,3.9,0.45,2.9,38,3.1,6,0
Cornflour,124,11-435,Cornflour,3 samples from different shops,Cereals and cereal products ,AA,6,1508,11-010 50-004 ,Data from CCP 11-010 and MW5 (50-004). Selenium from SAC Analysis of foods for Selenium 1994 MAFF Project 2B006,,343,0.6,83.6,0,83.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0.09,0.6,0.7,92,354,92,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,52,61,15,7,39,1.4,0.13,0.3,71,0,0,0
"Wheat flour, brown",125,11-437,"Wheat flour, brown","Data from Voluntary Flour Sampling Scheme (VFSS), 1977-81 plus literature sources. Biscuit and cake flours are similar in composition to plain flour",Cereals and cereal products ,AA,10,1384,11-028 50-012  ,"Data from MW5 as 50-012, fats as FA Supplement 11-028 and selenium data from SAC Analysis of foods for Selenium 1994 MAFF Project 2B006",,323,13.8,62.4,60.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.2,12.6,2,68.5,324,66.8,0,1.7,0,0,0,0.7,0,0,0,6.4,0,0,0.3,59.4,0.8,4.1,0.05,0,0.22,0,0.2,63.7,0.85,0,0.9,20.2,0.27,0,0,0,0,0,0,0,0,0,0.6,0,0.39,0.07,4,2.6,6.6,0.3,0,51,0.4,3,0,4,250,130,80,230,3.2,0.32,1.9,45,1.9,4,0
"Wheat flour, white, plain",126,11-439,"Wheat flour, white, plain","Data from Voluntary Flour Sampling Scheme (VFSS), 1977-81 plus literature sources. Biscuit and cake flours are similar in composition to plain flour",Cereals and cereal products ,AA,12,1450,11-031 50-014  ,"Data from MW5 as 50-014 with selenium data from SAC Analysis of foods for Selenium 1994 MAFF Project 2B006. Vitamin K1 from Bolton-Smith et al, Br J Nutr, 83, 2000. Fatty acids as FA supplement 11-031",,336,10.3,70.7,1.5,69.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.64,9.4,1.3,77.7,341,76.2,0,1.5,0,0,0,0.3,0.2,0,0,3.1,0,0,0.2,59.4,0.48,4.1,0.03,16.3,0.13,63.7,0.51,63.7,0.51,0,0.6,20.2,0.16,0,0,0,0,0,0,0,0,0,0.3,0.76,0.31,0.03,1.7,1.9,3.6,0.15,0,22,0.3,1,0,3,150,140,20,110,2,0.15,0.6,81,0.6,2,10
"Wheat flour, white, self-raising",127,11-440,"Wheat flour, white, self-raising","Data from Voluntary Flour Sampling Scheme (VFSS), 1977-81 plus literature sources. Biscuit and cake flours are similar in composition to plain flour",Cereals and cereal products ,AA,13,1407,11-032 50-015 ,Data from MW5 as 50-015 and selenium from SAC Analysis of foods for Selenium 1994 MAFF Project 2B006,,325,9.8,68.8,1.3,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.56,8.9,1.2,75.6,330,74.3,0,1.3,0.1,0,0,0.2,0,0,0,3.1,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.03,1.5,1.8,3.3,0.15,0,19,0.3,1,0,360,150,350,20,450,2,0.17,0.6,88,0.6,2,10
"Wheat flour, white, breadmaking",128,11-438,"Wheat flour, white, breadmaking","Data from Voluntary Flour Sampling Scheme (VFSS), 1977-81 plus literature sources. Biscuit and cake flours are similar in composition to plain flour",Cereals and cereal products ,AA,11,1451,11-030 50-013 ,Data from MW5 as 50-013 with selenium from SAC Analysis of foods for Selenium 1994 MAFF Project 2B006,,337,12.6,68.6,1.4,67.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.02,11.5,1.4,75.3,341,73.9,0,1.4,0,0,0,0.3,0,0,0,3.1,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.32,0.03,2,2.3,4.3,0.15,0,31,0.3,1,0,3,130,140,31,120,2.1,0.18,0.9,62,0.7,3,0
Wheatgerm,129,11-622,Wheatgerm,Literature sources,Cereals and cereal products ,AA,4,1509,11-034 50-017 ,"As MW5, with change in folate data",,362,28.4,41.4,15.3,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,4.54,26.7,9.2,44.7,357,28.7,0,16,0.7,0,0.5,14.8,0,0,0,15.6,0,0,1.3,0,0,0,0,0,0,0,1.1,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,22,0,2.01,0.72,4.5,5.3,9.8,3.3,0,0,1.9,25,0,5,950,55,270,1050,8.5,0.9,17,80,12.3,3,0
"Oatmeal, quick cook, raw",130,11-018,"Oatmeal, quick cook, raw","10 samples, 8 brands",Cereals and cereal products ,AA,11018,1587,50-006  ,Data as MW6 (50-006) with fatty acid from FA supplement,,370,12,60,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,1.92,11.2,9.2,66,375,64.9,0,1.1,0,0,0,0.8,0.3,0,0,7.1,0,0,1.6,40.7,3.52,2.2,0.19,38.6,3.34,0,3.3,42.9,3.71,0,3.7,0,1.61,0,0,0,0,0,0,0,0,0,1.5,0,0.9,0.09,0.8,2.6,0,0.33,0,60,1.2,21,0,9,350,52,110,380,3.8,0.49,3.3,25,3.9,3,0
"Bran, wheat",131,11-005,"Bran, wheat",Analytical and literature sources,Cereals and cereal products ,AA,5,872,50-001 ,"As CCP and MW5 50-001 (same samples). Vitamin K from Bolton-Smith et al, Br J Nutr, 83, 2000.",,204,14,24.5,3.6,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,2.24,14.1,5.5,26.8,206,23,0,3.8,0.2,0,0.1,3.5,0.1,0,0,36.4,0,0,0.9,0,0,0,0,0,0,0,0.07,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,2.6,10.4,0.89,0.36,29.6,3,0,1.38,0,260,2.4,45,0,28,1160,110,520,1200,12.9,1.34,16.2,150,9,2,0
"Pasta, plain, fresh, raw",132,11-449,"Pasta, plain, fresh, raw","12 Samples, assorted types e.g. Spaghetti, Tagliatelle, Lasagne",Cereals and cereal products ,AD,11449,1164,,"From RHM, Nutrient content of selected foods, 1995, Food Surveillance Information Sheet No. 70, inorganics and vitamins estimated from cooked pasta",,268,10.9,50.7,1.4,48.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1.75,11.3,2.4,55.5,274,53.5,0.6,1.5,0.2,0,0.1,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.03,0.7,1.8,2.5,0.02,0,3,0,0,0,28,85,64,33,150,1.4,0.8,1.4,51,0.7,23,63
"Ravioli, canned in tomato sauce",133,11-621,"Ravioli, canned in tomato sauce","10 samples, 4 brands",Cereals and cereal products ,AD,11351,297,11-351 50-172 ,"Data as MW5 (50-172), typographical error in Cholesterol level amended",,71,3.3,9.5,2.2,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9,0.53,3,2.2,10.3,70,8.1,0,2.2,0.5,0,0.7,0.7,0.3,0,0,0.9,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,0,0.3,0,0,0,0,0,0,6,0,0,0,0,0,0,0.05,0.04,0.9,0.6,0,0.1,0,3,0,0,0,490,150,16,12,43,0.8,0.08,0.5,760,0.16,0,0
"Spaghetti, wholemeal, boiled",134,11-455,"Spaghetti, wholemeal, boiled","Water content weighed, other nutrients calculated from raw",Cereals and cereal products ,AD,11064,485,11-064 50-032 ,"Data from MW5 with selenium from LGC, SAC Analysis of foods for Selenium 1994 MAFF Project 2B006",,113,5.1,21.2,1.3,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1,0.81,4.7,0.9,23.2,113,21.9,1,1.3,0.3,0,0.1,0.4,0.4,0,0,3.5,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.02,1.3,1,3.7,0.08,0,7,0.2,0,0,45,140,11,42,110,1.4,0.18,1.1,73,0.9,6,0
"Spaghetti, wholemeal, raw",135,11-454,"Spaghetti, wholemeal, raw","10 samples, 5 brands",Cereals and cereal products ,AD,11063,1379,11-063 50-031 ,"MW5 as 50-031, with selenium calculated from cooked pasta, SAC Analysis of foods for Selenium 1994 MAFF Project 2B006  and folates from LGC, Individual folates in foodstuffs, 1996, Food Surveillance Sheet No.92",,322,14.4,60.4,3.6,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,2.3,13.4,2.5,66.2,324,62.5,0,3.7,0.8,0,0.4,1.1,1.2,0,0,8.4,0,0,0.4,0,0,0,0,0,0,0,0.3,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.11,6.2,2.7,8.9,0.39,0,33,0.8,1,0,130,390,31,120,330,3.9,0.51,3,210,2.6,16,0
"Spaghetti, white, boiled",136,11-453,"Spaghetti, white, boiled","10 samples, 7 brands boiled in water",Cereals and cereal products ,AD,27,442,11-062 50-030 ,"MW5 data with folates from LGC, Individual folates in foodstuffs, 1996, Food Surveillance Sheet No.92 and selenium from SAC Analysis of foods for Selenium 1994 MAFF Project 2B006. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,103,3.9,20.2,0.5,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,73.8,0.63,3.6,0.7,22.2,104,21.7,0,0.5,0,0,0,0.1,0.3,0,0,1.2,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0.01,0.5,0.7,1.2,0.02,0,7,0,0,0,0,24,7,15,44,0.5,0.1,0.5,0,0.3,5,0
"Spaghetti, white, raw",137,11-452,"Spaghetti, white, raw","10 samples, 7 brands",Cereals and cereal products ,AD,26,1456,11-061 50-029 ,"MW5 data with folates from LGC, Individual folates in foodstuffs, 1996, Food Surveillance Sheet No.92 and selenium recalulated from cooked pasta SAC Analysis of foods for Selenium 1994 MAFF Project 2B006. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,339,13.2,67.5,3.2,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,9.8,2.11,12,1.8,74.1,342,70.8,0,3.3,0.3,0,0.1,0.8,1.8,0,0,2.9,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.22,0.03,3.1,2.5,0,0.17,0,23,0.3,1,0,3,250,25,56,190,2.1,0.32,1.5,25,0.9,17,0
"Pasta, fresh, cheese and vegetable stuffed, cooked",138,11-451,"Pasta, fresh, cheese and vegetable stuffed, cooked","10 Samples,  Tortellini, Agnolotti, Ravioli",Cereals and cereal products ,AD,11451,714,,"RHM, Nutrient content of selected foods, 1995, Food Surveillance Information Sheet No. 70",,166,7.7,23.5,0.9,22.6,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,27,129,0,0,0,0,0,0,0.68,0.21,0.13,0.53,0,0,0,61.3,1.23,7.7,4.6,25.8,169,24.9,0,0.9,0.1,0,0.1,0.1,0.4,0.3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,143,49,0,0.82,0,0.05,0.06,0.7,1.4,2.1,0.02,0,3,0.4,4,0,204,86,115,18,130,0.9,0.45,1.1,0,0.3,0,0
"Pasta, plain, fresh, cooked",139,11-450,"Pasta, plain, fresh, cooked","12 Samples, 8 brands including spaghetti, tagliatelle, lasagne, linguine and fusilli",Cereals and cereal products ,AD,11397,677,11-397  ,"RHM, Nutrient content of selected foods, 1995,  Food Surveillance Information Sheet No. 70, with fats as FA supplement 11-397",,156,6.6,29,0.5,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5,1.06,6.6,1.5,31.8,159,30.7,0.5,0.6,0.1,0,0,0.1,0.4,0,0,1.9,0,28.31,0.28,33.96,0.34,2.25,0.02,28.04,0.28,0,0.3,36.22,0.36,36.2,0.36,28.31,0.28,0,0,0,0,0,0,0,0,0,0,0,0.06,0.03,0.7,1,1.7,0.02,0,4,0,0,0,16,49,37,19,86,0.8,0.46,0.8,29,0.4,13,36
"Macaroni, boiled",140,11-448,"Macaroni, boiled","10 samples, 7 brands boiled in water",Cereals and cereal products ,AD,16,365,11-054 50-026 ,MW5 as 50-026 and selenium from SAC Analysis of foods for selenium 1994 MAFF Project 2B006,,85,3.3,16.8,0.3,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.1,0.52,3,0.5,18.5,86,18.2,0,0.3,0,0,0,0.1,0.2,0,0,0.9,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.5,0.6,1.1,0.01,0,3,0,0,0,1,25,6,14,42,0.5,0.09,0.5,5,0.3,5,0
"Macaroni, raw",141,11-447,"Macaroni, raw","10 samples, 7 brands; literature sources",Cereals and cereal products ,AD,15,1483,11-053 50-025 ,Data from MW5 as 50-025 with selenium calculated from cooked pasta SAC Analysis of foods for Selenium 1994 MAFF Project 2B006,,345,13.2,69,2.1,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,2.11,12,1.8,75.8,348,73.6,0,2.2,0.2,0,0.1,0.6,1.2,0,0,3.1,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.05,2.9,2.5,5.4,0.1,0,23,0.3,1,0,11,230,25,53,180,1.6,0.3,1.5,20,0.9,20,0
"Noodles, egg, boiled",142,11-056,"Noodles, egg, boiled","10 samples, 8 brands boiled in water",Cereals and cereal products ,AD,11056,264,50-028 ,As CCP and MW5 50-028 (same samples),,61,2.5,11.8,0.2,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.3,0.4,2.2,0.5,13,62,12.8,0,0.2,0,0,0,0.1,0.1,0,0,0.6,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,6,2,0,2,0,0,0,0.01,0.01,0.2,0.5,0,0.01,0,1,0,0,0,15,23,5,8,31,0.3,0.06,0.3,10,0.16,0,0
"Noodles, egg, raw",143,11-055,"Noodles, egg, raw","10 samples, 8 brands",Cereals and cereal products ,AD,5014,1656,50-027 ,Data as CCP and MW5 50-027 (same samples),,387,13.3,65.3,1.8,65.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,2.12,12.1,8.2,71.7,391,69.8,0,1.9,0.1,0,0,0.6,1.1,0,0,2.9,0,0,2.3,0,0,0,0,0,0,0,3.5,0,0,0,0.9,0,0,0,0,0,0,30,37,0,37,0.3,0,0,0.26,0.1,2.2,2.5,0,0.1,0,29,0,0,0,180,260,28,43,200,1.5,0.24,1.3,180,0.79,0,0
"Puff pastry, frozen, raw",144,11-224,"Puff pastry, frozen, raw","10 samples, 2 brands",Cereals and cereal products ,AO,11224,1558,11-388 ,Data as CCP; Fatty acid fractions estimated from 11-388 based on total fat content. Individual fatty acids from 11-388 not included because samples and total fat content are different.,,371,6.3,33.7,1.2,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,1,5.7,23.5,37,373,35.7,0,1.3,0.1,0,0,0.1,1,0,0,0,0,0,11.17,0,0,0,0,0,0,0,8.07,0,0,0,3.03,0,0,0,0,0,0.2,57,0,0,0,0,0,0,0.19,0.04,0.9,1.2,0,0.05,0,16,0,0,0,310,70,58,12,54,0.9,0.14,0.4,540,0.24,0,0
"Shortcrust pastry, frozen, raw",145,11-227,"Shortcrust pastry, frozen, raw","10 samples, 2 brands",Cereals and cereal products ,AO,11227,1836,11-389 ,Data as CCP 11-227 and FA 11-389,,437,4.9,40.3,0.7,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0.79,4.5,28.4,44.3,440,43.6,0,0.7,0.1,0,0,0,0.5,0,0,1.9,0,0,0,11.71,3.24,3,0.83,39.82,11,0,0,14.36,3.97,0,0,41.27,11.4,0.06,0.02,3.87,1.07,41,0,0,0,0,0,0,0.17,0,0.8,0.9,0,0.06,0,16,0.2,1,0,160,97,43,12,58,0.8,0.2,0.5,290,0.29,0,0
Lemon meringue pie,146,11-548,Lemon meringue pie,"8 samples, 4 brands. Fresh and frozen",Cereals and cereal products ,AS,112,1060,11-316 50-161 ,"ADAS Laboratories, 1999, Nutrient analysis of ice creams and desserts, Food Surveillance Information Sheet No.195",,255,2.9,41.7,28.8,12.4,0,0,0,0,28.5,16.3,1.8,7.4,1.5,0,0,1.5,46,0,0,0,0,10,0,0,0,0,0,0,0.93,0,0,0,0,0,0,42.1,0.46,2.9,8.5,43.5,251,13.6,0.6,29.8,4.5,0,3.4,20,1,0.4,0,0.7,0,38,3.09,0,0,0,0,37.8,3.07,43.2,3.51,18.1,1.47,18.4,1.5,0,0,0,0,5.7,0.46,12.2,46,10,48,0,0.96,0,0.08,0.04,0.4,0.7,1.1,0.02,0,6,0.15,0.9,5,113,70,38,6,40,0.03,0.04,0.2,237,0.11,2,8
"Christmas pudding, retail",147,11-291,"Christmas pudding, retail","10 samples, 4 brands",Cereals and cereal products ,AS,11291,1388,50-153 ,As CCP,,340,3.3,55.1,4.6,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0.53,3,11.8,56.3,329,10.1,0,46.2,20.3,0,20.8,3.5,1.5,0.1,0,1.7,0,0,6.1,0,0,0,0,0,0,0,4.1,0,0,0,0.6,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0.03,0.4,0.6,0,0.07,0,9,0,0,0,170,340,35,18,92,1.2,0.14,0.7,180,0.51,0,0
"Fruit pie, individual",148,11-547,"Fruit pie, individual","10 pies, as purchased, 3 brands; apple, blackcurrant, blackberry, apricot",Cereals and cereal products ,AS,105,1498,11-310 50-158 11-394  ,"Data from MW5 as 50-158 with fats and fatty acids from FA supplement 11-394 and vitamin E from Milk Marketing Board, Fat, Fatty acids and vitamin E content of a selection of biscuits, cakes and desserts, 1992",,358,4.7,53.3,29.8,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,1.2,0,0,0,22.9,0.75,4.3,14,56.7,356,25.8,0,30.9,5.7,0,2.8,21.5,0.9,0,0,0,0,0,5.36,10.6,1.42,1.93,0.26,38.04,5.09,0,6.02,11.67,1.56,0,1.83,40.04,5.36,1.31,0.18,8.93,1.2,0,0,0,0,0,4.1,0,0.05,0.02,0.4,0.9,1.3,0,0,0,0,0,0,210,120,51,12,64,1.2,0.1,0.5,260,2,0,0
"Sponge pudding, canned",149,11-549,"Sponge pudding, canned",10 assorted samples of the same brand,Cereals and cereal products ,AS,11328,1116,11-328 11-328 ,"Data as CCP (11-328), fats and fatty acid data from FA supplement (11-328), vitamin E from Milk Marketing Board, Fat, Fatty acids and vitamin  E content of a selection of biscuits, cakes and desserts, 1992",,267,3.4,42.8,25,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0.14,0,0,0,35.3,0.54,3.1,9.1,45.4,265,19.6,0,25.8,4.6,0,3.8,14.9,2,0.6,0,0.8,0,0,4.98,5.24,0.46,0.49,0.04,28.12,2.45,0,2.97,4.45,0.39,0,0.52,27.26,4.98,1.54,0.13,7.5,0.65,32,0,0,0,0,0.59,0,0.05,0.16,0.4,0.6,1,0.09,0,3,0.2,1,0,340,160,50,13,170,1.2,0.31,0.4,220,0.21,0,4
